Why does the Companies Act define a "small company" by paid-up capital AND turnover thresholds?	To ring-fence genuinely small firms for lighter compliance; both tests must be met so a low-capital but high-turnover firm can't escape scrutiny. Limits: capital up to Rs.4 crore, turnover up to Rs.40 crore.
What are the paid-up capital and turnover limits for a "small company" (Sec 2(85))?	Paid-up capital not exceeding Rs.4 crore and turnover not exceeding Rs.40 crore (as per latest rules).
Why can a public company never be a "small company"?	Small-company relief is meant for closely-held private firms; public companies invite public investment, so they always need full compliance regardless of size.
What is the minimum number of members for a private vs public company?	Private: minimum 2; Public: minimum 7. (OPC needs just 1.)
What is the maximum number of members in a private company, and why?	200 (excluding employees/ex-employees who are members). The cap keeps it closely-held, distinguishing it from a public company that raises capital widely.
Why is a One Person Company (OPC) restricted to a natural person who is an Indian resident?	To keep the single-owner structure genuinely individual and locally accountable; a body corporate can't hide behind an OPC. Resident = stay of 120 days or more in previous FY.
What triggers mandatory conversion of an OPC into a private/public company?	Earlier the paid-up capital/turnover ceilings applied, but those thresholds were removed; OPC may convert voluntarily anytime, and must if it wants to raise public capital.
Why does Sec 2(87) treat control of the Board's composition as "control" for a subsidiary?	Because economic ownership isn't the only power; whoever appoints/removes a majority of directors effectively runs the company, so that alone makes it a subsidiary.
When is a company a "subsidiary" under Sec 2(87)?	If the holding company controls Board composition OR holds/controls more than one-half of the total voting power.
Why can a subsidiary not hold shares in its holding company (Sec 19)?	To prevent circular shareholding that would let a company indirectly buy its own shares and inflate its capital artificially.
What is the doctrine of "lifting the corporate veil"?	Courts disregard separate legal personality when the company form is used for fraud, tax evasion, or to defeat law, holding the real persons behind it liable.
Why is a company said to have "perpetual succession"?	Its existence is independent of members; death, insolvency or exit of members doesn't end it. Only law can dissolve it. Members may come and go; the company continues.
Why must a company incorporated for charitable purposes under Sec 8 not pay dividends?	Its licence requires profits be applied only to promote its objects; distributing profit would defeat the not-for-profit purpose that earned it exemptions.
What is the "doctrine of ultra vires"?	Acts beyond the objects clause of the memorandum are void and cannot be ratified even by all shareholders, protecting creditors and investors from mission drift.
Why is the memorandum called the "charter" of a company?	It defines the company's constitution, powers, and scope of activities toward outsiders; it's the foundational document limiting what the company can do.
What is the "doctrine of constructive notice"?	Outsiders dealing with a company are deemed to know its public documents (MOA/AOA); they can't claim ignorance of registered limits on the company's powers.
What is the "doctrine of indoor management" (Turquand rule)?	Outsiders may assume internal procedures were properly followed; they aren't bound to verify internal compliance, protecting them where directors flout internal rules.
What is the reserved-word rule for a company using "One Person Company"?	The words "(One Person Company)" must appear in brackets below the company's name wherever printed/engraved.
Why does Sec 12 require the registered office within 30 days of incorporation?	The company must have a fixed address to receive legal communications from day one; it's the point of official service and record inspection.
What is the time limit to file a change of registered office within the same state but different ROC jurisdiction?	Requires Regional Director approval; confirmation to be filed and registered within the prescribed period, then intimated to ROC.
Why must every prospectus state facts fully and truly (Sec 26)?	Investors rely on it to decide; concealment or misstatement invites civil and criminal liability because capital is being raised from the public on that trust.
What is a "deemed prospectus" (Sec 25)?	When a company allots securities to an issuing house intending they be offered to the public, the offer document is treated as a prospectus issued by the company.
What is the "golden legal rule" for prospectus disclosure?	Those issuing a prospectus stand in a fiduciary position and must disclose the whole truth with strictest accuracy; nothing should be stated as fact that isn't.
Why is a "shelf prospectus" allowed for certain issuers?	To let frequent issuers (e.g., banks, NBFCs) raise capital in tranches without a fresh prospectus each time; valid up to one year, updated via an information memorandum.
What is minimum subscription and why is 90% the benchmark?	The minimum amount stated in the prospectus that must be subscribed before allotment; 90% of the issue must be received, else money is refunded, ensuring viability.
Why must application money be at least 5% of nominal value of the security?	SEBI/Act require a minimum stake at application to filter non-serious applicants and ensure genuine commitment before allotment.
What is the time limit to refund application money if minimum subscription is not received?	Within 15 days from closure of the issue; beyond that, interest at 15% p.a. is payable.
Why does Sec 42 restrict a private placement to 200 persons in a financial year?	Beyond 200 it becomes a de facto public offer; the cap prevents companies from circumventing prospectus and public-issue safeguards.
What identifiable persons are excluded from the 200-person private placement cap?	Qualified Institutional Buyers (QIBs) and employees under ESOP are excluded from the count.
Why must private placement money go into a separate bank account and not be utilised before allotment?	To protect subscribers' funds and ensure money is used only for the stated purpose after valid allotment; premature use is a serious contravention.
