Why does the previous year's income get taxed in the assessment year, not the same year?	Income must first be fully earned and quantified before it can be assessed; you tax a completed period (PY) in the year after (AY) once the total is known.
What is the core difference between "previous year" and "assessment year"?	PY is the year income is earned; AY is the following year in which that income is assessed and tax is paid.
Why does residential status decide scope of taxation before you compute any income?	Because a Resident is taxed on global income while a Non-Resident is taxed only on Indian-sourced income, so status sets the boundary of what even enters the computation.
For an individual, what are the two basic conditions for "Resident" status? (verify AY)	182 days in India in the PY, OR 60 days in PY plus 365 days in the preceding 4 years.
Why does an ROR (Resident & Ordinarily Resident) pay tax on foreign income but an RNOR does not?	ROR has a deep, settled connection to India (long presence), so India claims global income; RNOR is only recently/loosely resident, so foreign income earned abroad is spared.
What are the two additional conditions to be "Ordinarily Resident"? (verify AY)	Resident in 2 of the last 10 years AND 730+ days in India in the preceding 7 years.
Why is agricultural income exempt yet still added for "partial integration"?	It is constitutionally a State subject so the Centre cannot tax it, but it is aggregated to push non-agri income into a higher slab (rate effect only), preserving progressivity.
Why are there five heads of income instead of one lump sum?	Each source behaves differently (salary, property, business, gains, residual), so separate rules for deductions and timing are needed before totalling gross income.
Why is the standard deduction on salary a flat amount rather than actual-expense based? (verify AY)	Employees rarely have quantifiable job expenses, so a flat deduction gives relief without demanding proof, simplifying compliance.
Under which head is a director's sitting fee taxed, and why not "Salary"?	Income from Other Sources, because there is no employer-employee relationship — sitting fees are for attending meetings, not employment.
Why is HRA exemption the LEAST of three amounts? (verify AY)	The law grants relief only for rent actually strained by, so it caps at the smallest of actual HRA, rent minus 10% salary, and the metro/non-metro percentage — never overcompensating.
Why must you deduct municipal taxes on a paid basis to get Net Annual Value?	NAV reflects the owner's real rental capacity; taxes borne and actually paid by the owner reduce that capacity, so only paid taxes are allowed.
Why is the standard deduction under house property a fixed 30% of NAV? (verify AY)	It is a presumptive allowance for repairs/collection costs so owners need not prove actual maintenance spend.
Why is annual value of one self-occupied house taken as NIL?	There is no actual rent and the law grants a benefit for living in your own home, so notional rent is not taxed on self-occupation.
Why is interest on a let-out property loan fully deductible but self-occupied capped? (verify AY)	Let-out earns taxable rent so all cost of earning it is allowed; self-occupied earns nothing, so relief is a bounded concession (e.g. 2 lakh cap).
Why is depreciation allowed on the "block of assets" rather than each asset?	It simplifies accounting — assets of same class and rate are pooled, so individual sale/purchase just adjusts the block WDV instead of tracking each item.
Why can't you claim depreciation if a block ceases to exist or WDV becomes nil?	Depreciation needs a surviving block with a positive WDV; if all assets are sold or the block empties, there is nothing left to depreciate.
Why is 50% depreciation charged on an asset used less than 180 days?	The half-rate matches the shorter usage period in the year, aligning the allowance to actual time the asset served the business.
What is Section 40(a)(ia) and why does it disallow expenses?	It disallows 30% of certain expenses where TDS was not deducted/paid, using disallowance as a lever to enforce TDS compliance.
Why does Section 43B allow certain expenses only on actual payment?	For statutory dues (taxes, PF, interest to banks), the law prevents claiming a deduction while withholding the actual cash outflow, so deduction follows payment.
Why does presumptive taxation under 44AD exist for small businesses? (verify AY)	To spare small taxpayers from maintaining detailed books and audits by presuming a fixed profit percentage of turnover.
Under 44AD, why is the presumptive rate lower for digital receipts? (verify AY)	To incentivise cashless transactions — 6% for digital/banking receipts vs 8% for cash — nudging formalisation.
Why is the cost of a capital asset indexed before computing long-term gains?	Indexation strips out inflation so only the real gain (not the paper rise from currency erosion) is taxed.
Why is there no indexation benefit on short-term capital gains?	Short holding leaves little time for inflation to distort value, so the raw gain is taxed without adjustment.
What is the period that separates short-term from long-term for listed equity shares? (verify AY)	12 months — beyond that it is long-term.
Why does Section 54 exempt gains on a house reinvested in another house?	The law encourages continuity of housing; if you roll the gain into a new home, you haven't cashed out, so tax is deferred/exempted.
Why must the reinvestment amount under 54EC be in specified bonds within 6 months? (verify AY)	The exemption channels gains into nation-building infrastructure bonds; the time limit ensures prompt reinvestment, not indefinite deferral.
Why is the Capital Gains Account Scheme needed at all?	If you can't reinvest before the return due date, parking funds in the CGAS preserves the exemption while you complete the purchase/construction in time.
Why is "transfer" defined so broadly for capital gains?	To catch economic substance — exchanges, relinquishment, extinguishment of rights — so gains aren't escaped by disguising a sale as something else.
Why does Section 56(2)(x) tax gifts received without consideration above a threshold? (verify AY)	To plug the gap where untaxed money moves as "gifts"; receipts above 50,000 from non-relatives are taxed as Other Sources.
Why are gifts from relatives or on marriage exempt under 56(2)(x)?	These reflect genuine personal relationships, not income-shifting, so the law carves them out from the anti-abuse provision.
Why is clubbing of income (Sec 60-64) required?	To stop tax avoidance by diverting income to a spouse/minor in a lower slab; the income is clubbed back with the real earner.
Why is a minor child's income clubbed with the higher-earning parent? (verify AY)	A minor can't independently earn most income, so it is attributed to the parent, with a small exemption per child to avoid harshness.
Why can business losses be carried forward but not set off against salary?	To prevent taxpayers from sheltering salary with business losses; the law ring-fences business losses to business income within the carry-forward window.
Why can unabsorbed depreciation be carried forward indefinitely, unlike business loss?	Depreciation is a mandatory statutory allowance, not a discretionary loss, so it is treated more leniently with no time cap and no return-filing condition.
Why must a return be filed on time to carry forward most losses?	Timely filing is the compliance price of the carry-forward benefit; late filers forfeit it (except unabsorbed depreciation and house property loss).
Why does Chapter VI-A cap total deductions at gross total income?	Deductions are reliefs from income, not a source of refund; they cannot create or increase a loss, so they stop at reducing GTI to nil.
Why does 80C reward specified savings/investments? (verify AY)	To channel household savings into long-term instruments (PF, LIC, ELSS, principal repayment) with a combined cap of 1.5 lakh.
Why is 80D (health insurance) separate from 80C? (verify AY)	Health cover is socially prioritised, so it gets its own limit rather than competing with the crowded 80C basket.
Why does 80TTA/80TTB give interest deductions, and who gets which? (verify AY)	To give small relief on bank interest — 80TTA (savings interest) for general taxpayers, 80TTB (broader, higher) for senior citizens.
Why does a rebate under 87A fully eliminate tax for small incomes rather than just reduce the rate? (verify AY)	It targets the lowest earners for full relief up to a threshold, keeping them out of the tax net entirely without changing the slab structure.
Why is surcharge "a tax on tax" levied only above high income thresholds? (verify AY)	It adds progressivity at the top by charging extra on the tax amount of high earners, without disturbing lower slabs.
Why does marginal relief exist for surcharge?	To ensure that crossing a surcharge threshold by a small amount doesn't increase tax by more than the extra income — preventing an unfair cliff.
Why is Health & Education Cess charged on tax plus surcharge? (verify AY)	It is an earmarked levy (currently 4%) funding health and education, applied on the aggregated tax to spread the cost across all taxpayers.
Why does the new tax regime offer lower rates but fewer deductions?	It trades away exemptions for simplicity and lower slabs, letting taxpayers who don't invest heavily pay less with no paperwork.
Why is TDS deducted at source rather than collected at year-end?	To secure revenue early, widen the tax base, and create an audit trail — tax is collected as income arises, reducing evasion and default.
Why does TDS on salary use the average rate over the year?	Salary is spread across months, so the employer estimates annual tax and deducts it evenly, avoiding a lump-sum shock at year-end.
What is the consequence under 234B and 234C, and why two sections?	234B charges interest for not paying 90% advance tax; 234C for missing quarterly instalments — separating the failure to pay from the failure to pay on time.
Why is advance tax paid in instalments during the year? (verify AY)	Income accrues through the year, so tax is matched to it in quarterly instalments (15%/45%/75%/100%), keeping government cash flow steady.
Why is interest under 234A charged for late filing of return?	It compensates the government for delayed self-assessment tax remaining unpaid past the due date until the return is filed.
Why does GST replace multiple indirect taxes with one?	To remove the cascading of tax-on-tax across VAT, excise, and service tax, creating a single seamless value-added tax with full input credit.
Why is GST called a "destination-based consumption tax"?	Tax accrues to the state where goods/services are consumed, not produced, so revenue follows demand rather than manufacturing location.
Why does GST split into CGST + SGST for intra-state and IGST for inter-state?	Intra-state supply is shared between Centre and State (CGST+SGST); inter-state is a single IGST that the Centre later apportions to the consuming state.
Why is "supply" the taxable event in GST rather than sale or manufacture?	Supply is broader — it captures sale, transfer, barter, lease, and disposal — so the trigger covers all commercial dealings under one concept.
Why does Schedule I tax certain supplies even without consideration?	To catch value transfers like related-party supplies and permanent asset disposals with ITC, preventing tax leakage through "free" transactions.
Why is the place of supply critical in GST?	It determines whether a supply is intra- or inter-state, which decides CGST+SGST vs IGST and which state gets the revenue.
Why is time of supply needed in GST?	It fixes the point when tax liability arises (earliest of invoice, payment, or receipt), so returns and payment happen in the right period.
What is the Input Tax Credit mechanism and why does it prevent cascading?	ITC lets a registered person offset tax paid on inputs against tax on outputs, so tax applies only to value added at each stage.
Why are the four conditions for claiming ITC (Sec 16) strict? (verify AY)	Possession of tax invoice, receipt of goods/services, tax actually paid to government, and return filed — ensuring credit only where tax genuinely reached the exchequer.
Why is ITC blocked on items like personal cars and club memberships (Sec 17(5))?	These are prone to personal use, not business value addition, so credit is denied to stop diversion of business credit to consumption.
Why must ITC be reversed if payment to supplier isn't made within 180 days?	ITC presupposes the transaction is real and paid; unpaid invoices suggest the value wasn't actually incurred, so the credit is clawed back.
Why does the Composition Scheme trade lower rates for no ITC? (verify AY)	Small taxpayers get a simple flat rate on turnover and minimal compliance, but forgo input credit and can't collect tax from customers.
Why can't a composition dealer make inter-state outward supplies?	The scheme is meant for small local businesses; inter-state supply implies wider operations that belong under the regular regime.
Why is the GST registration threshold different for goods vs services? (verify AY)	Goods get a higher threshold (e.g. 40 lakh) than services (20 lakh) because service providers add value with lower turnover, warranting earlier registration.
Why is registration mandatory regardless of turnover for inter-state suppliers?	Inter-state trade involves IGST and cross-state revenue apportionment, so the government requires registration to track it from the first rupee.
Why does Reverse Charge Mechanism shift tax liability to the recipient?	For hard-to-track suppliers (unregistered persons, specified services), collecting from the organised recipient is more reliable than from the supplier.
Why can a supply be "composite" vs "mixed", and why does it matter?	Composite = naturally bundled (taxed at principal supply's rate); mixed = artificially bundled (taxed at the highest rate) — classification drives the applicable rate.
Why is a tax invoice mandatory under GST?	It is the primary document evidencing supply and enabling the recipient's ITC; without it, the credit chain breaks.
Why does an e-way bill exist for movement of goods above a threshold? (verify AY)	To track goods in transit, curb evasion, and verify that tax-paid goods match declared supplies during movement.
Why is a Bill of Supply issued instead of a tax invoice by composition/exempt suppliers?	They cannot charge GST, so they issue a Bill of Supply that carries no tax component, signalling no ITC is available.
Why is GSTR-1 (outward) reconciled against GSTR-3B and 2B?	To ensure the tax declared on sales, the summary return, and the recipient's available credit all match — enforcing the self-policing credit chain.
Why is exempt supply different from zero-rated supply in GST?	Exempt supply carries no tax and blocks ITC; zero-rated (exports/SEZ) is taxed at 0% but allows ITC — so exporters get refunds, exempt sellers don't.
Why are exports treated as zero-rated rather than exempt?	To keep Indian goods globally competitive by refunding all embedded taxes, so tax is not exported along with the goods.
Why does GST allow a refund of accumulated ITC in inverted duty structures?	When inputs are taxed higher than outputs, credit piles up unusable; refund releases the blocked working capital.
Why is TDS under GST (Sec 51) applied to certain government contracts? (verify AY)	To ensure tax on large public-sector supplies is captured at source from deductors, improving compliance visibility.
Why does TCS under GST (Sec 52) apply to e-commerce operators?	The operator collects tax on supplies made through its platform, bringing numerous small online sellers into the tax net via a single collector.
Why does the GST law prescribe a formal valuation (Sec 15) based on transaction value?	Tax must be on the real price paid between unrelated parties; transaction value anchors it, with adjustments only where price is influenced or incomplete.
Why are subsidies from the government excluded from GST taxable value?	Government subsidies aren't part of the consideration between supplier and buyer, so they don't represent the price of the supply.
Why is interest on delayed GST payment charged on the net cash liability? (verify AY)	Interest compensates only for tax actually withheld from the government; since ITC was already with the exchequer, interest applies to the net cash shortfall.
