Why does Financial Management aim to maximise shareholder wealth rather than profit?	Profit ignores timing, risk and cash reality; wealth (market value of equity) captures time value, risk and long-run cash flows — profit can be inflated yet destroy value.
Why is Wealth Maximisation superior to Profit Maximisation as the goal of FM?	It uses cash flows (not accounting profit), accounts for time value of money and risk, and reflects the true owner benefit — share price.
What are the three key decisions of Financial Management?	Investment (capital budgeting), Financing (capital structure), and Dividend decision — each affects value and risk.
Why does time value of money exist even without inflation?	A rupee today can be invested to earn a return, so it is worth more than the same rupee later — opportunity cost of waiting.
Why do we discount future cash flows instead of adding them directly?	Future rupees are not comparable to present rupees; discounting converts them to a common time-point so value is measured correctly.
What is the Future Value formula for a single sum?	FV = PV x (1 + r)^n — compounding a present sum forward at rate r for n periods.
What is the Present Value formula for a single sum?	PV = FV / (1 + r)^n — discounting a future sum back at rate r.
Why is an annuity due worth more than an ordinary annuity of the same amount?	Cash flows arrive one period earlier, so each is discounted for one less period — PV(due) = PV(ordinary) x (1 + r).
What is the PV of a perpetuity?	PV = Cash flow / r — a constant flow forever, value equals flow divided by discount rate.
What is the PV of a growing perpetuity?	PV = C1 / (r - g), valid only when r > g — used in the Gordon dividend model.
Why must r be greater than g in the growing perpetuity formula?	If g >= r the series does not converge; value would be infinite/negative, which is meaningless.
What does NPV represent and what is the decision rule?	NPV = PV of inflows - PV of outflows; accept if NPV > 0 because the project adds value above the required return.
Why is NPV theoretically the best capital budgeting technique?	It uses all cash flows, time value, correct discount rate, and gives value added in absolute rupee terms — directly linked to wealth maximisation.
What is IRR and its accept/reject rule?	IRR is the rate where NPV = 0; accept if IRR > cost of capital (hurdle rate).
Why can IRR mislead for mutually exclusive projects?	It ignores scale and assumes reinvestment at IRR; NPV (reinvestment at cost of capital) is more reliable — prefer NPV on conflict.
Why can a project have multiple IRRs?	Non-conventional cash flows (more than one sign change) produce more than one root — use NPV or MIRR instead.
What does the Profitability Index (PI) measure and its rule?	PI = PV of inflows / initial investment; accept if PI > 1 — useful to rank projects under capital rationing.
What is the Payback Period and its main weakness?	Time to recover the initial outlay; weakness — ignores time value and all cash flows after payback.
How does Discounted Payback improve on simple payback?	It uses discounted cash flows so time value is respected, but it still ignores flows beyond the payback point.
Why do we add back depreciation when computing project cash flows?	Depreciation is a non-cash expense; it was deducted for tax but does not leave the firm — cash flow = PAT + depreciation.
What is the depreciation tax shield?	Depreciation x tax rate — the tax saved because depreciation is deductible, a real cash inflow even though non-cash.
Why are sunk costs excluded from capital budgeting?	They are already incurred and unaffected by the decision; only incremental future cash flows are relevant.
Why must opportunity cost be included in project evaluation?	Using a resource in this project forgoes its next-best cash benefit; that lost benefit is a real economic cost.
Why is interest expense excluded from project operating cash flows?	Financing cost is captured in the discount rate (WACC); including it in cash flows double-counts the cost of capital.
What is the Cost of Capital and why is it the discount rate?	It is the minimum return investors require; a project must beat it to add value, so it is the hurdle for discounting.
What is the formula for cost of equity under the Dividend Growth (Gordon) model?	Ke = (D1 / P0) + g — dividend yield plus growth rate.
What is the cost of equity under CAPM?	Ke = Rf + beta x (Rm - Rf) — risk-free rate plus beta times market risk premium.
Why is the cost of debt taken after tax?	Interest is tax-deductible, so the effective cost = I x (1 - t); the tax shield lowers the real burden.
What is WACC and why weight by market value?	WACC = weighted average of component costs; market-value weights reflect the current opportunity cost investors face, unlike book values.
Why is retained earnings not a free source of capital?	Shareholders forgo dividends they could reinvest; its cost equals the cost of equity (often minus flotation) — an opportunity cost.
What is Financial Leverage and what does it measure?	% change in EPS / % change in EBIT (= EBIT / (EBIT - I - Pref/(1-t))); sensitivity of EPS to EBIT from fixed financial costs.
What is Operating Leverage and what does it measure?	% change in EBIT / % change in sales (= Contribution / EBIT); sensitivity of EBIT to sales from fixed operating costs.
What is Combined Leverage and what does it capture?	DCL = DOL x DFL = Contribution / (EBIT - I); total sensitivity of EPS to a change in sales — overall business + financial risk.
Why does high financial leverage raise risk to equity holders?	Fixed interest must be paid regardless of EBIT; in bad years EPS falls faster and insolvency risk rises.
What is the indifference point in EBIT-EPS analysis?	The EBIT level where EPS is equal under two financing plans; above it debt gives higher EPS, below it equity is safer.
What does the Net Income (NI) approach say about capital structure?	More debt (cheaper) lowers WACC and raises firm value continuously — an optimal structure is 100% debt (unrealistic assumption).
What does the Net Operating Income (NOI) approach say?	WACC and firm value are constant regardless of leverage; cheaper debt is exactly offset by rising cost of equity — no optimal structure.
What is the core conclusion of Modigliani-Miller without taxes?	Capital structure is irrelevant; firm value depends on operating earnings and risk, not on how it is financed (arbitrage enforces this).
How does MM change when corporate taxes are introduced?	Value of levered firm = value of unlevered + (tax rate x debt); the interest tax shield makes debt add value.
What is the Traditional approach to capital structure?	A moderate use of debt lowers WACC to a minimum and maximises value; beyond an optimal point, rising risk raises WACC again.
Why does Trade-off theory say firms do not use 100% debt despite tax shields?	Rising bankruptcy and financial-distress costs eventually offset tax benefits; the optimum balances tax shield against distress cost.
What does Pecking Order theory predict about financing choice?	Firms prefer internal funds first, then debt, then equity last — driven by information asymmetry and signalling costs.
What is Working Capital and the two concepts of it?	Capital for day-to-day operations; Gross WC = total current assets, Net WC = current assets - current liabilities.
