Why value closing stock at lower of cost or NRV (AS 2)?	Prudence — never carry an asset above realisable cash; recognise a probable loss now but never an unrealised gain.
Which AS governs Valuation of Inventories?	AS 2 — inventories measured at lower of cost and net realisable value.
What is Net Realisable Value under AS 2?	Estimated selling price in ordinary course LESS estimated costs of completion and costs to make the sale.
Which cost formulas does AS 2 permit?	FIFO or Weighted Average; LIFO is prohibited because it distorts the balance sheet with outdated costs.
What costs are excluded from inventory cost (AS 2)?	Abnormal waste, storage (unless needed for production), admin overheads, and selling costs — they don't bring stock to present location/condition.
Why are borrowing costs on a qualifying asset capitalised (AS 16)?	They are directly attributable to acquiring an asset that takes substantial time to be ready; matching cost to future benefit.
What is a qualifying asset under AS 16?	An asset that necessarily takes a substantial period of time to get ready for its intended use or sale.
When must capitalisation of borrowing costs cease (AS 16)?	When substantially all activities to prepare the asset for its intended use/sale are complete.
Why suspend capitalisation of borrowing costs during extended interruption (AS 16)?	No asset is being readied during idle periods, so continuing to capitalise would overstate the asset.
Which AS deals with Depreciation Accounting principles now?	AS 10 (Property, Plant & Equipment) — the old AS 6 was withdrawn and merged into AS 10.
Why depreciate an asset (AS 10)?	To allocate the depreciable amount systematically over useful life — matching the asset's consumption to revenue it helps earn.
What is depreciable amount (AS 10)?	Cost (or revalued amount) of the asset LESS its residual value.
How is a change in depreciation method treated (AS 10)?	As a change in accounting estimate, applied prospectively — not retrospectively.
Why can't routine repairs be capitalised (AS 10)?	They only maintain the originally assessed standard of performance; they don't add future economic benefits.
Which AS covers Revenue Recognition?	AS 9 — revenue from sale of goods, rendering of services, and interest/royalties/dividends.
When is revenue from sale of goods recognised (AS 9)?	When significant risks and rewards of ownership pass to the buyer and no significant uncertainty exists on collectability.
Why recognise dividend income only when the right to receive is established (AS 9)?	Until declared, there is no certainty of inflow; recognising earlier would breach prudence and the realisation principle.
How is interest revenue recognised under AS 9?	On a time proportion basis considering the amount outstanding and the applicable rate.
Which AS governs Contingencies and Events after the Balance Sheet Date?	AS 4.
What is an adjusting event under AS 4?	An event after the balance sheet date giving evidence of conditions existing AT the balance sheet date — adjust the financials.
Why are proposed dividends no longer a provision (AS 4 revised)?	They are declared after the balance sheet date and aren't an obligation at year-end; disclose in notes only.
Which AS covers Net Profit or Loss, Prior Period Items and Changes in Accounting Policies?	AS 5.
What is a prior period item (AS 5)?	Income or expense arising from errors or omissions in prior periods' statements, disclosed separately so current profit isn't distorted.
Why apply a change in accounting policy retrospectively/with disclosure (AS 5)?	To keep comparability and reveal the impact so users aren't misled by a break in consistency.
Which AS deals with The Effects of Changes in Foreign Exchange Rates?	AS 11.
How is a foreign currency monetary item reported at year-end (AS 11)?	At the closing rate; exchange differences go to the profit and loss statement.
Why translate non-monetary items at historical rate (AS 11)?	They are carried at past transaction values, so the rate at the transaction date preserves that historical measurement.
Which AS covers Accounting for Government Grants?	AS 12.
Why not recognise a government grant until reasonable assurance exists (AS 12)?	Prudence — the enterprise must be reasonably certain it will comply with conditions and actually receive the grant.
How is a grant related to a depreciable asset treated (AS 12)?	Either deducted from asset cost or as deferred income released to P&L over the asset's useful life, matching the depreciation.
How is a grant in the nature of promoters' contribution treated (AS 12)?	Credited to capital reserve — it is not earned income and shouldn't inflate profit.
Which AS covers Accounting for Investments?	AS 13.
How are current investments valued (AS 13)?	Lower of cost and fair value — prudence, since they are held for short-term realisation.
How are long-term investments valued (AS 13)?	At cost, less any provision for a decline that is other than temporary.
Why not write down a temporary fall in a long-term investment (AS 13)?	The intent is long-term holding; short-term market swings don't reflect a permanent loss of value.
Which AS governs Amalgamations?	AS 14.
Difference between amalgamation in nature of merger vs purchase (AS 14)?	Merger: all five conditions met, pooling of interests; Purchase: any condition fails, use the purchase method.
Under pooling of interests method, how are assets recorded (AS 14)?	At existing book values; the difference on adjusting reserves goes to reserves, not goodwill.
Under purchase method, how is the excess of consideration over net assets treated (AS 14)?	As goodwill, amortised generally over a period not exceeding 5 years.
What is purchase consideration under AS 14?	The aggregate of shares and other securities issued plus payment made to shareholders of the transferor company (not to creditors).
Which AS covers Employee Benefits?	AS 15.
Difference between defined contribution and defined benefit plan (AS 15)?	Contribution: employer's obligation is the fixed contribution; Benefit: employer bears actuarial and investment risk of the promised benefit.
Which AS covers Segment Reporting?	AS 17.
