What distinguishes cost accounting from financial accounting?	Financial accounting reports external stewardship (P&L, B/S) per GAAP; cost accounting is internal — it ascertains, controls and reduces cost per unit/job to aid pricing and decisions.
Why is cost classified by 'behaviour' (fixed/variable) rather than just by nature?	Because decisions turn on how cost reacts to volume — only variable cost changes with output, so behaviour drives marginal analysis, break-even and pricing, which nature-wise grouping cannot reveal.
Define 'cost object' vs 'cost centre'.	Cost object = anything for which cost is separately measured (product, job, service). Cost centre = a location/person/equipment where cost is accumulated for control.
Why treat 'cost unit' as the measuring rod?	It expresses cost per unit of output (per tonne, per km, per patient-day) so different periods and firms become comparable — an absolute total tells you nothing about efficiency.
What is a 'sunk cost' and why is it irrelevant to decisions?	A cost already incurred and unrecoverable; since no future action can change it, it must be ignored — only future differential cash flows matter for decisions.
What is 'opportunity cost' and why include it though no cash moves?	The benefit foregone from the next-best alternative use of a resource; ignoring it overstates the attractiveness of the chosen option in scarce-resource decisions.
Prime Cost formula	Prime Cost = Direct Material + Direct Labour + Direct Expenses.
Works/Factory Cost formula	Works Cost = Prime Cost + Factory Overheads + Opening WIP − Closing WIP.
Cost of Production formula	Cost of Production = Works Cost + Office & Administration Overheads.
Cost of Goods Sold formula	COGS = Cost of Production + Opening FG − Closing FG.
Cost of Sales / Total Cost formula	Cost of Sales = COGS + Selling & Distribution Overheads. Sales = Cost of Sales + Profit.
Why are finished-goods stocks valued at Cost of Production, not Cost of Sales?	Selling & distribution overheads relate only to units actually sold; unsold stock has not incurred them, so loading them would overstate closing stock and defer no real cost.
Economic Order Quantity (EOQ) formula	EOQ = √(2 × A × O ÷ C), where A = annual demand, O = ordering cost per order, C = carrying cost per unit p.a.
Why does EOQ minimise total inventory cost?	At EOQ, annual ordering cost equals annual carrying cost; total cost is flat at that point, so trading one for the other yields no saving.
Re-order Level formula	ROL = Maximum usage × Maximum lead time. (Or = Safety stock + Average usage × Average lead time.)
Maximum Stock Level formula	Max Level = ROL + ROQ − (Minimum usage × Minimum lead time).
Minimum Stock Level formula	Min Level = ROL − (Average usage × Average lead time). It is the buffer/safety stock.
What is the purpose of ABC analysis of inventory?	Selective control — 'A' items (few, high value) get tight control; 'C' items (many, low value) get loose control. Effort follows value, not count.
Why does FIFO overstate profit in a period of rising prices?	It charges older (cheaper) material to production, leaving newer (dearer) stock on the balance sheet — low cost against current revenue inflates profit and closing stock.
