What is the primary objective of an audit of financial statements?	To enable the auditor to express an opinion on whether the FS give a true and fair view (are free from material misstatement) — assurance, not certification of absolute accuracy.
Why can an audit give only reasonable assurance, not absolute assurance?	Inherent limitations: use of judgement/estimates, test-checking (sampling), persuasive-not-conclusive evidence, management fraud/collusion, and nature of items — 100% certainty is impossible and uneconomical.
What is the difference between reasonable assurance and absolute assurance?	Reasonable = high but not 100% (audit); absolute = 100% guarantee (never given). Auditor reduces risk to acceptably low, not zero.
Why is an auditor a 'watchdog and not a bloodhound' (Kingston Cotton Mills)?	He must exercise reasonable care/skill and is entitled to rely on trusted officials unless something arouses suspicion — not bound to approach work with pre-set suspicion of fraud.
What are the two pillars/objectives of audit under SA 200?	(1) Obtain reasonable assurance FS are free from material misstatement; (2) Report on the FS and communicate as required by the SAs.
What is 'true and fair view' — why not 'true and correct'?	Accounts need not be arithmetically exact; they must reflect economic reality free of material misstatement and comply with the applicable framework — fairness over pin-point correctness.
Define audit materiality (SA 320).	Misstatements are material if they, individually or aggregated, could reasonably be expected to influence economic decisions of users taken on the basis of the FS.
Why is materiality a matter of professional judgement, not a fixed percentage?	It depends on size AND nature of the item and the surrounding circumstances; qualitative factors (e.g. fraud, compliance) can make a small amount material.
What is performance materiality and why set it below overall materiality?	Amount set below overall materiality to reduce the risk that aggregate of uncorrected + undetected misstatements exceeds materiality — a buffer for undetected errors.
State the audit risk model.	Audit Risk = Risk of Material Misstatement × Detection Risk = (Inherent Risk × Control Risk) × Detection Risk.
Why does detection risk vary inversely with risk of material misstatement?	To keep audit risk acceptably low: when RMM is high, auditor must lower detection risk by doing more/better substantive work; when RMM is low, DR can be higher.
What is inherent risk?	Susceptibility of an assertion to misstatement (before controls), due to complexity, estimation, or nature of the item — e.g. cash and estimates carry high inherent risk.
What is control risk?	Risk that a misstatement will not be prevented or detected and corrected on a timely basis by the entity's internal control.
What is detection risk?	Risk that the auditor's procedures will not detect an existing material misstatement — the only component the auditor directly controls.
Why must an auditor maintain professional scepticism (SA 200)?	A questioning mind alert to conditions indicating possible misstatement and critical assessment of evidence — guards against over-reliance on management and undue trust.
What is professional judgement in auditing?	Application of relevant training, knowledge and experience in making informed decisions about courses of action appropriate in the audit circumstances.
Why is documentation (SA 230) essential — 'not done if not documented'?	Provides evidence of the basis for the opinion and that the audit complied with SAs; supports planning, review, quality control, and defence in litigation.
What is the SA 230 rule for assembling the final audit file?	Assemble on a timely basis, ordinarily within 60 days of the auditor's report date; retain for at least 7 years (SQC 1).
Define audit evidence and its two quality attributes (SA 500).	Information used to draw conclusions supporting the opinion; must be sufficient (quantity) and appropriate (relevance + reliability).
Why is externally sourced/original evidence more reliable?	Reliability rises with independence of source, effective internal control, direct auditor knowledge, documentary form, and originals over copies — external confirmations rank high.
What is the difference between 'sufficient' and 'appropriate' evidence?	Sufficient = enough quantity (affected by risk & quality); Appropriate = quality — relevant to the assertion and reliable. Higher risk/lower quality needs more quantity.
List the financial statement assertions about transactions.	Occurrence, Completeness, Accuracy, Cut-off, Classification (and Presentation).
List the assertions about account balances at period end.	Existence, Rights & Obligations, Completeness, Valuation & Allocation (Accuracy, Classification, Presentation).
Why test 'existence' for assets but 'completeness' for liabilities?	Management tends to overstate assets (test they exist) and understate liabilities (test all are recorded) — audit direction follows the likely misstatement.
What is vouching?	Examination of documentary evidence to verify the authenticity, authority and accuracy of a recorded transaction — tests occurrence/validity of entries.
What is verification?	Examining assets and liabilities for existence, ownership, valuation and presentation at the B/S date — confirms the balance, not just the transaction.
Difference between vouching and verification.	Vouching checks entries in books (transactions during the year); verification checks assets/liabilities existence and value at period end. Vouching precedes verification.
What is the auditor's duty regarding valuation of assets — does he value them?	No. Valuation is management's responsibility; the auditor verifies the reasonableness of the values and disclosures, exercising due care.
Why is closing stock valued at lower of cost or NRV (AS 2)?	Prudence — never carry an asset above its realisable cash; recognise the probable loss now but never an unrealised gain.
What are the two error types in audit sampling (SA 530)?	Sampling risk (sample not representative) and non-sampling risk (auditor error — wrong procedure, misinterpretation), the latter reduced by planning/supervision.
What is the difference between statistical and non-statistical sampling?	Statistical uses random selection + probability theory to measure sampling risk; non-statistical relies on judgement and cannot quantify sampling risk.
What is the going concern assumption (SA 570)?	FS are prepared on the basis that the entity will continue operations for the foreseeable future and has no need/intention to liquidate — else break-up basis is used.
